genotype,date,site,recording,has_spikes,has_triggers,n_rois,n_active,n_analysis,n_events,note,source_path
Sert,721,,ro1_2x_x1018y1130_18lp_3000f_00001,1,1,44,6,6,308,"EXCLUDED: different stage zero reference (see coh_cfg_260727)",E:\260721_Sert_soma_G8s\phys\baseline\ro1_2x_x1018y1130_18lp_3000f_00001
Sert,721,cell1,ro1_2x_x1018y1130_z10_20lp_6000f_00001,1,1,44,5,5,361,"",E:\260721_Sert_soma_G8s\phys\baseline\ro1_2x_x1018y1130_z10_20lp_6000f_00001
Sert,721,cell1,ro1_2x_x1018y1130_z15_20lp_6000f_00001,1,1,49,8,7,398,"",E:\260721_Sert_soma_G8s\phys\baseline\ro1_2x_x1018y1130_z15_20lp_6000f_00001
Sert,721,cell1,ro1_2x_x1018y1130_z25_26lp_6000f_00001,1,1,33,5,3,192,"",E:\260721_Sert_soma_G8s\phys\baseline\ro1_2x_x1018y1130_z25_26lp_6000f_00001
Sert,721,cell3,ro3_2.5x_x450y1500_z-15_28.5lp_6000f_00003,1,1,26,3,2,230,"",E:\260721_Sert_soma_G8s\phys\baseline\ro3_2.5x_x450y1500_z-15_28.5lp_6000f_00003
Sert,721,cell3,ro3_4x_x700y-1233_z-10_24.5lp_6000f_00001,1,1,27,6,5,390,"",E:\260721_Sert_soma_G8s\phys\baseline\ro3_4x_x700y-1233_z-10_24.5lp_6000f_00001
Sert,721,cell4,ro4_7x_x0y400_z0_36.5lp_3000f_00001,1,1,1,1,1,85,"",E:\260721_Sert_soma_G8s\phys\baseline\ro4_7x_x0y400_z0_36.5lp_3000f_00001
Sert,721,cell5,ro5_1.6x_x1200y-400_z0_26lp_6000f_00001,1,1,76,12,6,408,"",E:\260721_Sert_soma_G8s\phys\baseline\ro5_1.6x_x1200y-400_z0_26lp_6000f_00001
Sert,721,cell6,ro6_1.6x_x1200y-700_z0_26lp_6000f_00001,1,1,49,3,3,292,"",E:\260721_Sert_soma_G8s\phys\baseline\ro6_1.6x_x1200y-700_z0_26lp_6000f_00001
Sert,721,cell7,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,1,1,49,4,2,110,"",E:\260721_Sert_soma_G8s\phys\baseline\ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001
Sert,721,,ro8_2.3x_x-500-1500_z0_27lp_6000f_00001,0,1,NaN,NaN,NaN,NaN,"EXCLUDED: no ca_spike_data yet, so no active cells",E:\260721_Sert_soma_G8s\phys\baseline\ro8_2.3x_x-500-1500_z0_27lp_6000f_00001
Sert,721,cell7,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,1,1,48,10,7,339,"",E:\260721_Sert_soma_G8s\phys\baseline\roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001
