population,session,ncc,d_um,dz_um,fovA,roiA,fovB,roiB
NEAR,Vgat/0730,0.993223663888578,1.33079898543385,0,roi1_3x_x950y1200_z40_6000f_14lp_00001,18,roi1_3x_x950y1200_z40_6000f_14lp_00002,16
NEAR,Vglut2/0728,0.988005078066019,0.892936986286855,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,22,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,9
NEAR,Vglut2/0728,0.986935186555292,1.08004298806011,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,12,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,6
NEAR,Vglut2/0728,0.986852707659992,1.40519200384982,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,8,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,4
NEAR,Sert/0721,0.986264973924404,1.31893183141509,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,17,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,16
NEAR,Vglut2/0728,0.984931734424104,0.710227410158918,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,27,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,14
NEAR,Sert/0721,0.984593994921602,1.13244692949878,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,46,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,45
NEAR,Vgat/0730,0.984422712745693,0.547441001878114,5.3125,roi1_2x_x1100y950_z13_6000f_13lp_00001,5,roi1_3x_x1100y950_z8_3000f_11.5lp_00001,3
NEAR,Vglut2/0728,0.984351545848157,0.543850560690929,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,21,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,10
NEAR,Vgat/0730,0.983709490529475,0.311036919365171,5.3125,roi1_2x_x1100y950_z13_6000f_13lp_00001,9,roi1_3x_x1100y950_z8_3000f_11.5lp_00001,6
NEAR,Vglut2/0728,0.983577088426877,0.853152284133463,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,20,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,8
NEAR,Vgat/0730,0.983278634922349,0.51513532881031,5.3125,roi1_2x_x1100y950_z13_6000f_13lp_00001,3,roi1_3x_x1100y950_z8_3000f_11.5lp_00001,1
NEAR,Vglut2/0728,0.981245386298039,0.977905701229911,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,25,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,12
NEAR,Sert/0721,0.981228508647006,0.960869735710326,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,21,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,19
NEAR,Vglut2/0224/pFN,0.980843845012887,0.435664617131953,0.9375,pFN_roi1_z0_512x512_6x_2000f_00001,2,pFN_roi2_z5_25x_512x512_3x_6000f_00001,2
NEAR,Sert/0721,0.980450495344964,1.50284758003298,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,45,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,44
NEAR,Vglut2/0224/pFN,0.980301886362469,0.276611618777139,0.9375,pFN_roi1_z0_512x512_6x_2000f_00001,5,pFN_roi2_z5_25x_512x512_3x_6000f_00001,6
NEAR,Sert/0721,0.979262098427591,1.18500239131142,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,2,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,2
NEAR,Sert/0721,0.978840917141362,0.993348069504075,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,43,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,42
NEAR,Vglut2/0224/pFN,0.978347955571053,0.13804062152207,0.9375,pFN_roi1_z0_512x512_6x_2000f_00001,6,pFN_roi2_z5_25x_512x512_3x_6000f_00001,7
NEAR,Sert/0721,0.977416913260089,1.058255370631,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,20,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,20
NEAR,Vglut2/0224/pFN,0.977398512981241,0.523536381319623,2.1875,pFN_roi2_z5_25x_512x512_3x_6000f_00001,11,pFN_roi2_z5_512x512_6x_6000f_00001,5
NEAR,Sert/0721,0.977112797587437,1.72860690311014,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,10,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,9
NEAR,Vglut2/0728,0.976696125924963,0.788966762013341,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,31,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,19
NEAR,Sert/0721,0.976517310587653,0.893790506099161,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,9,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,8
NEAR,Vglut2/0224/pFN,0.976497047464202,0.518909684034484,2.1875,pFN_roi2_z5_25x_512x512_3x_6000f_00001,8,pFN_roi2_z5_512x512_6x_6000f_00001,2
NEAR,Vglut2/0728,0.976438601553375,0.846197905459985,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,26,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,13
NEAR,Vgat/0730,0.976150193952396,0.632434754659269,1.25,roi1_1.6x_x1050y1000_z100_3000f_17.5lp_00001,55,roi1_3x_x1050y1000_z100_3000f_17lp_00001,12
NEAR,Vgat/0730,0.976041307379279,1.59492662541597,1.25,roi1_1.6x_x1050y1000_z100_3000f_17.5lp_00001,71,roi1_3x_x1050y1000_z100_3000f_17lp_00001,25
NEAR,Vgat/0730,0.976009140470092,1.23217273425539,1.25,roi1_1.6x_x1050y1000_z100_3000f_17.5lp_00001,58,roi1_3x_x1050y1000_z100_3000f_17lp_00001,14
NEAR,Vgat/0730,0.975563547431894,0.705462481455479,0,roi1_3x_x950y1200_z40_6000f_14lp_00001,14,roi1_3x_x950y1200_z40_6000f_14lp_00002,12
NEAR,Vglut2/0728,0.975390967359693,0.348308645905438,5,fov1_1.7x_y1650x1320_z35_3000f_15lp_00001,30,fov1_1.7x_y1650x1320_z40_3000f_17lp_00001,29
NEAR,Sert/0721,0.975010273400977,0.426492920080898,0.9375,ro1_2x_x1018y1130_z10_20lp_6000f_00001,19,ro3_4x_x700y-1233_z-10_24.5lp_6000f_00001,15
NEAR,Vglut2/0224/pFN,0.974630577941953,0.479563069613963,2.1875,pFN_roi2_z5_25x_512x512_3x_6000f_00001,9,pFN_roi2_z5_512x512_6x_6000f_00001,3
NEAR,Vgat/0730,0.974578715805351,0.741275089451727,0,roi1_3x_x950y1200_z40_6000f_14lp_00001,15,roi1_3x_x950y1200_z40_6000f_14lp_00002,13
NEAR,Vglut2/0728,0.9737554176405,0.874407043833759,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,3,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,1
NEAR,Vglut2/0728,0.973574078523146,1.22590611381182,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,10,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,5
NEAR,Vglut2/0728,0.972769025735581,0.906538073619044,5.3125,fov1_2x_y1700x1350_z15_6000f_16lp_00001,34,fov1_2x_y1700x1350_z15_6000f_17.5lp_00001,23
NEAR,Sert/0721,0.97259641532353,1.3166710753472,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,34,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,34
NEAR,Vglut2/0728,0.971711990324252,1.52868815431053,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,48,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,41
NEAR,Sert/0721,0.970995128347785,0.538920569007188,0.9375,ro1_2x_x1018y1130_z10_20lp_6000f_00001,15,ro3_4x_x700y-1233_z-10_24.5lp_6000f_00001,10
NEAR,Sert/0721,0.970496173650455,0.956775757945254,0.9375,ro1_2x_x1018y1130_z10_20lp_6000f_00001,24,ro3_4x_x700y-1233_z-10_24.5lp_6000f_00001,20
NEAR,Sert/0721,0.970428027483362,0.309338698272162,1.875,ro1_2x_x1018y1130_z15_20lp_6000f_00001,30,ro3_2.5x_x450y1500_z-15_28.5lp_6000f_00003,4
NEAR,Sert/0721,0.970385586129706,0.591777852819477,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,5,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,5
NEAR,Sert/0721,0.969837199547338,0.670232736708348,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,24,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,22
NEAR,Sert/0721,0.969446440289677,1.08570586899944,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,48,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,46
NEAR,Sert/0721,0.969023037706643,0.802705551106146,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,4,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,4
NEAR,Sert/0721,0.968822982383978,1.21937435467216,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,47,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,47
NEAR,Vglut2/0728,0.968424738338763,0.647859397434493,5,fov1_2x_y1700x1350_z15_6000f_16lp_00001,19,fov1_2x_y1700x1350_z25_3000f_16lp_00001,19
NEAR,Vglut2/0728,0.967805492061552,0.842716139517368,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,32,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,20
NEAR,Sert/0721,0.966228532752676,0.812648315282893,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,41,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,40
NEAR,Vgat/0730,0.966133947277659,1.32285885827413,1.25,roi1_1.6x_x1050y1000_z100_3000f_17.5lp_00001,66,roi1_3x_x1050y1000_z100_3000f_17lp_00001,19
NEAR,Sert/0721,0.964095927051936,0.818007677823421,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,12,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,11
NEAR,Vglut2/0224/pFN,0.963980311842676,0.504671080430348,2.1875,pFN_roi2_z5_25x_512x512_3x_6000f_00001,10,pFN_roi2_z5_512x512_6x_6000f_00001,4
NEAR,Vgat/0730,0.963694843771912,1.04420579848304,0,roi1_3x_x950y1200_z40_6000f_14lp_00001,3,roi1_3x_x950y1200_z40_6000f_14lp_00002,4
NEAR,Vglut2/0728,0.963556674296204,1.99905300265263,3.4375,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,29,fov1_2x_y1700x1350_z25_3000f_16lp_00001,37
NEAR,Vgat/0730,0.961889565273035,0.805625836953738,5.3125,roi1_2x_x1100y950_z13_6000f_13lp_00001,16,roi1_3x_x1100y950_z8_3000f_11.5lp_00001,11
NEAR,Sert/0721,0.961035261897749,1.26129868530266,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,22,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,21
NEAR,Vgat/0730,0.960750359820613,0.360068116647141,1.25,roi1_1.6x_x1050y1000_z100_3000f_17.5lp_00001,69,roi1_3x_x1050y1000_z100_3000f_17lp_00001,23
NEAR,Vglut2/0728,0.96033084783373,2.03666185511184,3.4375,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,4,fov1_2x_y1700x1350_z25_3000f_16lp_00001,7
NEAR,Vglut2/0728,0.960319046625357,0.689434143738879,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,33,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,22
NEAR,Vglut2/0728,0.96024716992497,0.993975967564801,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,23,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,11
NEAR,Vgat/0730,0.960243781312651,0.946690915057918,0,roi1_3x_x950y1200_z40_6000f_14lp_00001,19,roi1_3x_x950y1200_z40_6000f_14lp_00002,17
NEAR,Sert/0721,0.959789445337873,1.17989679460641,0.9375,ro1_2x_x1018y1130_z10_20lp_6000f_00001,16,ro3_4x_x700y-1233_z-10_24.5lp_6000f_00001,11
NEAR,Sert/0721,0.959788573960836,0.313928582717978,0.9375,ro1_2x_x1018y1130_z10_20lp_6000f_00001,17,ro3_4x_x700y-1233_z-10_24.5lp_6000f_00001,12
NEAR,Vglut2/0728,0.958779664346067,0.648014390287259,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,37,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,28
NEAR,Sert/0721,0.957549004954269,1.25337649332963,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,15,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,15
NEAR,Vglut2/0728,0.957501903823274,0.478800715042189,5,fov1_1.7x_y1650x1320_z35_3000f_15lp_00001,40,fov1_1.7x_y1650x1320_z40_3000f_17lp_00001,41
NEAR,Vglut2/0728,0.957449274652475,0.744133998255177,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,30,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,18
NEAR,Vglut2/0728,0.95694332279954,1.84904752054052,3.4375,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,24,fov1_2x_y1700x1350_z25_3000f_16lp_00001,32
NEAR,Vglut2/0728,0.956858686902195,0.587307866397876,5,fov1_2x_y1700x1350_z15_6000f_17.5lp_00001,23,fov1_2x_y1700x1350_z5_6000f_15.5lp_00002,15
NEAR,Vglut2/0728,0.956456672845774,0.222082031336208,5,fov1_1.7x_y1650x1320_z35_3000f_15lp_00001,19,fov1_1.7x_y1650x1320_z40_3000f_17lp_00001,19
NEAR,Vgat/0730,0.956309328616596,1.87806346924809,1.25,roi1_1.6x_x1050y1000_z100_3000f_17.5lp_00001,62,roi1_3x_x1050y1000_z100_3000f_17lp_00001,17
NEAR,Vgat/0730,0.956233934959751,1.24499328411004,5.3125,roi1_2x_x1100y950_z13_6000f_13lp_00001,17,roi1_3x_x1100y950_z8_3000f_11.5lp_00001,10
NEAR,Sert/0721,0.955749475664789,0.961258489863066,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,19,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,18
NEAR,Vglut2/0728,0.953587158046877,0.92963947789937,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,40,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,29
NEAR,Sert/0721,0.953172003335952,0.611418317724791,1.875,ro1_2x_x1018y1130_z15_20lp_6000f_00001,47,ro3_2.5x_x450y1500_z-15_28.5lp_6000f_00003,15
NEAR,Vglut2/0728,0.953134754261028,0.453547103807332,5,fov1_1.7x_y1650x1320_z35_3000f_15lp_00001,32,fov1_1.7x_y1650x1320_z40_3000f_17lp_00001,31
NEAR,Vglut2/0728,0.953122733419212,1.55676839174033,5,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,8,fov1_2x_y1700x1350_z25_3000f_16lp_00001,7
NEAR,Sert/0721,0.953000747014189,1.30104292706774,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,25,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,24
NEAR,Vglut2/0728,0.952821019268339,0.894465161140369,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,29,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,17
NEAR,Vglut2/0728,0.952704077804681,0.990526772010793,5.3125,fov1_2x_y1700x1350_z15_6000f_16lp_00001,5,fov1_2x_y1700x1350_z15_6000f_17.5lp_00001,1
NEAR,Vglut2/0728,0.952556157803756,1.78414702713799,3.4375,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,28,fov1_2x_y1700x1350_z25_3000f_16lp_00001,33
NEAR,Vglut2/0224/pFN,0.952381410909161,0.157706120768474,0.9375,pFN_roi1_z0_512x512_6x_2000f_00001,4,pFN_roi2_z5_25x_512x512_3x_6000f_00001,5
NEAR,Vglut2/0728,0.95223568160453,0.582408130171074,5,fov1_1.7x_y1650x1320_z35_3000f_15lp_00001,5,fov1_1.7x_y1650x1320_z40_3000f_17lp_00001,5
NEAR,Vgat/0730,0.95201001884519,1.90038889129601,5.3125,roi1_2x_x1100y950_z13_6000f_13lp_00001,12,roi1_3x_x1100y950_z8_3000f_11.5lp_00001,9
NEAR,Sert/0721,0.95196868492184,2.044128063914,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,35,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,36
NEAR,Vglut2/0728,0.951761307836326,0.785038447884797,3.4375,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,23,fov1_2x_y1700x1350_z25_3000f_16lp_00001,31
NEAR,Vglut2/0224/pFN,0.951681181117429,0.653211050377643,2.1875,pFN_roi2_z5_25x_512x512_3x_6000f_00001,15,pFN_roi2_z5_512x512_6x_6000f_00001,7
NEAR,Vglut2/0728,0.951486703104607,0.275934235213648,5,fov1_1.7x_y1650x1320_z35_3000f_15lp_00001,20,fov1_1.7x_y1650x1320_z40_3000f_17lp_00001,21
NEAR,Sert/0721,0.950403692070698,0.608884952774341,0.9375,ro1_2x_x1018y1130_z10_20lp_6000f_00001,28,ro3_4x_x700y-1233_z-10_24.5lp_6000f_00001,23
NEAR,Vglut2/0728,0.950349058003771,1.1093182076935,5.3125,fov1_2x_y1700x1350_z15_6000f_16lp_00001,39,fov1_2x_y1700x1350_z15_6000f_17.5lp_00001,29
NEAR,Sert/0721,0.950291632288915,0.19684664513365,0.9375,ro1_2x_x1018y1130_z10_20lp_6000f_00001,9,ro3_4x_x700y-1233_z-10_24.5lp_6000f_00001,5
NEAR,Vgat/0730,0.950145874587732,0.423069954598045,0,roi1_3x_x950y1200_z40_6000f_14lp_00001,16,roi1_3x_x950y1200_z40_6000f_14lp_00002,14
NEAR,Sert/0721,0.949846234309167,1.45387445145893,5.9375,ro1_2x_x1018y1130_z15_20lp_6000f_00001,9,ro3_4x_x700y-1233_z-10_24.5lp_6000f_00001,4
NEAR,Sert/0721,0.948566096522744,2.24238529509343,5.9375,ro1_2x_x1018y1130_z15_20lp_6000f_00001,4,ro3_4x_x700y-1233_z-10_24.5lp_6000f_00001,1
NEAR,Vglut2/0728,0.948385421029828,0.211415854029565,5,fov1_2x_y1700x1350_z15_6000f_16lp_00001,37,fov1_2x_y1700x1350_z25_3000f_16lp_00001,35
NEAR,Vgat/0730,0.948354367034157,0.751255768397173,1.25,roi1_1.6x_x1050y1000_z100_3000f_17.5lp_00001,48,roi1_3x_x1050y1000_z100_3000f_17lp_00001,9
NEAR,Vglut2/0728,0.947627578454699,0.557071334377722,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,34,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,23
NEAR,Vglut2/0728,0.947408136274492,0.56149455387514,5,fov1_1.7x_y1650x1320_z35_3000f_15lp_00001,15,fov1_1.7x_y1650x1320_z40_3000f_17lp_00001,16
NEAR,Vgat/0730,0.947180656309577,0.704465494811427,0,roi1_3x_x950y1200_z40_6000f_14lp_00001,17,roi1_3x_x950y1200_z40_6000f_14lp_00002,15
NEAR,Vglut2/0728,0.946069244849989,1.59191987335765,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,5,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,2
NEAR,Vglut2/0224/pFN,0.945844694066049,0.930436734453016,2.1875,pFN_roi2_z5_25x_512x512_3x_6000f_00001,21,pFN_roi2_z5_512x512_6x_6000f_00001,10
NEAR,Vglut2/0728,0.945551407848531,1.07323228254839,3.4375,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,13,fov1_2x_y1700x1350_z25_3000f_16lp_00001,23
NEAR,Vglut2/0728,0.945122086336685,1.69695203878476,3.4375,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,22,fov1_2x_y1700x1350_z25_3000f_16lp_00001,30
NEAR,Vglut2/0728,0.944829988915736,1.73957169696624,5.3125,fov1_2x_y1700x1350_z15_6000f_16lp_00001,43,fov1_2x_y1700x1350_z15_6000f_17.5lp_00001,32
NEAR,Sert/0721,0.944652086112406,0.496602184637808,0.9375,ro1_2x_x1018y1130_z10_20lp_6000f_00001,20,ro3_4x_x700y-1233_z-10_24.5lp_6000f_00001,16
NEAR,Vglut2/0728,0.944622720475444,0.873058618531825,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,28,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,15
NEAR,Vgat/0730,0.944443180507695,1.42753813834042,5,roi1_2x_x1100y950_z13_6000f_13lp_00001,11,roi1_3x_x1100y950_z8_6000f_13lp_00001,6
NEAR,Vgat/0730,0.94439450274642,0.117469749335099,5.3125,roi1_2x_x1100y950_z13_6000f_13lp_00001,6,roi1_3x_x1100y950_z8_3000f_11.5lp_00001,4
NEAR,Sert/0721,0.944225623695054,0.755635586653976,0.9375,ro1_2x_x1018y1130_z10_20lp_6000f_00001,25,ro3_4x_x700y-1233_z-10_24.5lp_6000f_00001,21
NEAR,Vgat/0730,0.943957376388355,0.626229821639799,5.3125,roi1_2x_x1100y950_z13_6000f_13lp_00001,10,roi1_3x_x1100y950_z8_3000f_11.5lp_00001,7
NEAR,Vglut2/0728,0.943800174702579,0.539753374190329,5,fov1_2x_y1700x1350_z5_6000f_15.5lp_00001,4,fov1_2x_y1700x1350_z5_6000f_15.5lp_00002,10
NEAR,Vglut2/0728,0.943435212514191,1.85610137928166,3.4375,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,9,fov1_2x_y1700x1350_z25_3000f_16lp_00001,17
NEAR,Sert/0721,0.943369336403133,1.01914244553691,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,40,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,39
NEAR,Vglut2/0728,0.943215407681379,0.848109786479111,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,35,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,24
NEAR,Sert/0721,0.942604880931404,1.44312687478004,5.9375,ro1_2x_x1018y1130_z15_20lp_6000f_00001,8,ro3_4x_x700y-1233_z-10_24.5lp_6000f_00001,3
NEAR,Sert/0721,0.942496636556346,1.46359480614796,1.5625,ro7_1.6x_x1000y-1000_z0_26lp_6000f_00001,36,roi7_1.8x_x-1000-1000_z0_16lp_3000f_00001,33
NEAR,Vglut2/0728,0.942352651828748,0.998229919865236,1.5625,fov1_1.7x_y1650x1320_z30_3000f_15lp_00001,45,fov1_2.1x_y1350x1310_z30_3000f_13lp_00001,39
NEAR,Vgat/0730,0.942112587261029,0.82136112515999,0,roi1_3x_x950y1200_z40_6000f_14lp_00001,5,roi1_3x_x950y1200_z40_6000f_14lp_00002,6
